,total_value
2015-11-05,1460459.4070000001
2015-11-06,1487343.4070000001
2015-11-09,1510083.4070000001
2015-11-10,1507527.4070000001
2015-11-11,1511431.4070000001
2015-11-12,1504491.4070000001
2015-11-13,1483667.4070000001
2015-11-16,1494115.4070000001
2015-11-17,1493247.4070000001
2015-11-18,1478719.4070000001
2015-11-19,1498155.4070000001
2015-11-20,1503531.4070000001
2015-11-23,1495455.4070000001
2015-11-24,1497775.4070000001
2015-11-25,1510503.4070000001
2015-11-26,1505551.4070000001
2015-11-27,1425851.4070000001
2015-11-30,1423497.867
2015-12-01,1423497.867
2015-12-02,1423497.867
2015-12-03,1423497.867
2015-12-04,1423497.867
2015-12-07,1423497.867
2015-12-08,1423497.867
2015-12-09,1423497.867
2015-12-10,1423497.867
2015-12-11,1423497.867
2015-12-14,1423497.867
2015-12-15,1423497.867
2015-12-16,1423497.867
2015-12-17,1423497.867
2015-12-18,1423497.867
2015-12-21,1423497.867
2015-12-22,1423497.867
2015-12-23,1423497.867
2015-12-24,1423497.867
2015-12-25,1423497.867
2015-12-28,1423497.867
2015-12-29,1423497.867
2015-12-30,1423497.867
2015-12-31,1423497.867
2016-01-04,1423497.867
2016-01-05,1423497.867
2016-01-06,1423497.867
2016-01-07,1423497.867
2016-01-08,1423497.867
2016-01-11,1423497.867
2016-01-12,1423497.867
2016-01-13,1423497.867
2016-01-14,1423497.867
2016-01-15,1423497.867
2016-01-18,1423497.867
2016-01-19,1423497.867
2016-01-20,1423497.867
2016-01-21,1423497.867
2016-01-22,1423497.867
2016-01-25,1423497.867
2016-01-26,1423497.867
2016-01-27,1423497.867
2016-01-28,1423497.867
2016-01-29,1423497.867
2016-02-01,1423497.867
2016-02-02,1423497.867
2016-02-03,1423497.867
2016-02-04,1423497.867
2016-02-05,1423497.867
2016-02-15,1423497.867
2016-02-16,1423497.867
2016-02-17,1423497.867
2016-02-18,1423497.867
2016-02-19,1423497.867
2016-02-22,1423497.867
2016-02-23,1423497.867
2016-02-24,1423497.867
2016-02-25,1423497.867
2016-02-26,1423497.867
2016-02-29,1423497.867
2016-03-01,1423497.867
2016-03-02,1423497.867
2016-03-03,1423497.867
2016-03-04,1423497.867
2016-03-07,1423497.867
2016-03-08,1423497.867
2016-03-09,1423497.867
2016-03-10,1423497.867
2016-03-11,1423497.867
2016-03-14,1423497.867
2016-03-15,1423497.867
2016-03-16,1423497.867
2016-03-17,1423497.867
2016-03-18,1423497.867
2016-03-21,1430970.175
2016-03-22,1426027.849
2016-03-23,1430267.849
2016-03-24,1410671.849
2016-03-25,1418055.849
2016-03-28,1409411.849
2016-03-29,1394215.849
2016-03-30,1426543.849
2016-03-31,1427851.849
2016-04-01,1430095.849
2016-04-05,1447511.849
2016-04-06,1446519.849
2016-04-07,1429651.849
2016-04-08,1420267.849
2016-04-11,1439867.849
2016-04-12,1435743.849
2016-04-13,1452939.849
2016-04-14,1459227.849
2016-04-15,1457531.849
2016-04-18,1439747.849
2016-04-19,1443411.849
2016-04-20,1415315.849
2016-04-21,1407439.849
2016-04-22,1409979.849
2016-04-25,1404951.849
2016-04-26,1412163.849
2016-04-27,1407751.849
2016-04-28,1404519.849
2016-04-29,1401611.849
2016-05-03,1423339.849
2016-05-04,1422791.849
2016-05-05,1425419.849
2016-05-06,1391583.849
2016-05-09,1359127.849
2016-05-10,1354086.917
2016-05-11,1354086.917
2016-05-12,1354086.917
2016-05-13,1354086.917
2016-05-16,1354086.917
2016-05-17,1354086.917
2016-05-18,1354086.917
2016-05-19,1354086.917
2016-05-20,1354086.917
2016-05-23,1354086.917
2016-05-24,1354086.917
2016-05-25,1354086.917
2016-05-26,1354086.917
2016-05-27,1354086.917
2016-05-30,1354086.917
2016-05-31,1354086.917
2016-06-01,1354086.917
2016-06-02,1354086.917
2016-06-03,1354086.917
2016-06-06,1354086.917
2016-06-07,1354086.917
2016-06-08,1354086.917
2016-06-13,1354086.917
2016-06-14,1354086.917
2016-06-15,1354086.917
2016-06-16,1354086.917
2016-06-17,1354086.917
2016-06-20,1354086.917
2016-06-21,1354086.917
2016-06-22,1354086.917
2016-06-23,1354086.917
2016-06-24,1354086.917
2016-06-27,1354086.917
2016-06-28,1354086.917
2016-06-29,1354086.917
2016-06-30,1354086.917
2016-07-01,1354086.917
2016-07-04,1354086.917
2016-07-05,1357581.392
2016-07-06,1360851.392
2016-07-07,1360719.392
2016-07-08,1352091.392
2016-07-11,1354140.392
2016-07-12,1370478.392
2016-07-13,1373871.392
2016-07-14,1371870.392
2016-07-15,1371954.392
2016-07-18,1368732.392
2016-07-19,1366644.392
2016-07-20,1364034.392
2016-07-21,1367367.392
2016-07-22,1359510.392
2016-07-25,1360413.392
2016-07-26,1370715.392
2016-07-27,1353264.392
2016-07-28,1353960.392
2016-07-29,1349466.392
2016-08-01,1341681.392
2016-08-02,1347048.392
2016-08-03,1349202.392
2016-08-04,1350393.392
2016-08-05,1348674.392
2016-08-08,1356948.392
2016-08-09,1363368.392
2016-08-10,1361289.392
2016-08-11,1356456.392
2016-08-12,1370865.392
2016-08-15,1393224.392
2016-08-16,1388676.392
2016-08-17,1388529.392
2016-08-18,1386897.392
2016-08-19,1388094.392
2016-08-22,1381107.392
2016-08-23,1382577.392
2016-08-24,1381428.392
2016-08-25,1376163.392
2016-08-26,1376757.392
2016-08-29,1376673.392
2016-08-30,1378068.392
2016-08-31,1381311.3919999998
2016-09-01,1374657.392
2016-09-02,1375869.392
2016-09-05,1377294.392
2016-09-06,1382877.392
2016-09-07,1383243.392
2016-09-08,1384449.392
2016-09-09,1379319.392
2016-09-12,1362258.392
2016-09-13,1362265.883
2016-09-14,1362265.883
2016-09-19,1362265.883
